player_id;url;name;full_name;date_of_birth;age;place_of_birth;country_of_birth;positions;current_club;national_team;appearances_current_club;goals_current_club;scraping_timestamp;AgeCategory;GoalsPerClubGame
665d5bf0-985a-52e5-b306-8d65b3c89bae;https://en.wikipedia.org/wiki/Emiliano_Mart%C3%ADnez;Emiliano Martínez;Damián Emiliano Martínez Romero;1992-09-02;31;Mar del Plata;Argentina;Goalkeeper;Aston Villa;Argentina;133;0;2024-02-12 10:36:04;MidAge;0.0
977d19d0-33d4-53f9-a090-0b978750c6f8;https://en.wikipedia.org/wiki/Ben_Brereton_D%C3%ADaz;Ben Brereton Díaz;Benjamin Anthony Brereton Díaz;1999-04-18;24;Stoke-on-Trent;England;Forward, winger;Sheffield United;Chile;3;2;2024-02-12 10:36:04;MidAge;0.666666666666667
6932905c-1892-5024-821f-3ecbf62e803a;https://en.wikipedia.org/wiki/Ivan_Kucherenko_(footballer);Ivan Kucherenko;Ivan Vasilyevych Kucherenko;1987-06-01;36;Ukrainian SSR;Soviet Union;Defender;FC Ukraine United;;;;2024-02-12 10:36:05;Old;0
c2db3031-b2ed-5a54-bbab-40b3832b2a85;https://en.wikipedia.org/wiki/Thiago_Almada;Thiago Almada;Thiago Ezequiel Almada;2001-04-26;22;Ciudadela, Buenos Aires;Argentina;Attacking midfielder, winger;Atlanta United;Argentina;60;17;2024-02-12 10:36:05;Young;0.283333333333333
b90cc4ea-f770-5799-bb00-8c3eb29e33c4;https://en.wikipedia.org/wiki/Sulaiman_Said_Al-Shukaili;Sulaiman Said Al-Shukaili;Sulaiman Said Saif Al-Shukaili;1984-10-29;39;;Oman;Defender;;Oman;;;2024-02-12 10:36:05;Old;0
403f1318-739e-5e62-8648-178b800a4ec6;https://en.wikipedia.org/wiki/Kelechi_Iheanacho;Kelechi Iheanacho;Kelechi Promise Iheanacho;1996-10-03;27;Owerri;Nigeria;Striker;Leicester City;Nigeria;166;35;2024-02-12 10:36:06;MidAge;0.210843373493976
c4d797f7-5ab4-5353-8638-8aadde3118b1;https://en.wikipedia.org/wiki/Raphinha;Raphinha;Raphael Dias Belloli;1996-12-14;27;Porto Alegre;Brazil;Winger;Barcelona;Brazil;52;10;2024-02-12 10:36:06;MidAge;0.192307692307692
c138bad8-0897-53b6-b7be-de34721e1b95;https://en.wikipedia.org/wiki/Nilufar_Kudratova;Nilufar Kudratova;Nilufar Gulmurod qizi Kudratova;1997-06-05;26;Qarshi;Uzbekistan;Forward;;Uzbekistan;;;2024-02-12 10:36:06;MidAge;0
4472a1de-4a03-5a2e-8a3e-fb0fb4b83dc5;https://en.wikipedia.org/wiki/Caoimh%C3%ADn_Kelleher;Caoimhín Kelleher;Caoimhín Odhrán Kelleher;1998-11-23;25;Cork;Ireland;Goalkeeper;Liverpool;Republic of Ireland;8;0;2024-02-12 10:36:08;MidAge;0.0
8ab740c1-6dd6-58d5-a7b7-1350f70a62d1;https://en.wikipedia.org/wiki/Mohammad_Javad_Mohammadi;Mohammad Javad Mohammadi;Mohammad Javad Mohammadi Marzroudi;1996-07-20;27;Tehran;Iran;Midfielder;Zob Ahan;;9;4;2024-02-12 10:36:09;MidAge;0.444444444444444
36d88698-b3f1-564d-9c5f-591f036c30af;https://en.wikipedia.org/wiki/Carballo_(disambiguation);;;;;;;;;;;;;;0
6e96855c-397d-52ea-90fc-998334ab6505;https://en.wikipedia.org/wiki/Luo_Zuqing;Luo Zuqing;;1993-04-27;30;Meizhou, Guangdong;China;Goalkeeper/Striker;Shenzhen Pengcheng;;30;0;2024-02-12 10:36:11;MidAge;0.0
5c1f237d-81ab-581d-a539-0cb350a2df4b;https://en.wikipedia.org/wiki/Kylian_Mbapp%C3%A9;Kylian Mbappé;Kylian Mbappé Lottin;1998-12-20;25;Paris;France;Forward;Paris Saint-Germain;France;168;155;2024-02-12 10:36:12;MidAge;0.922619047619048
d6df4a36-4170-588f-aa0b-4b40c1d732a5;https://en.wikipedia.org/wiki/Brandon_Wakeham;;Brandon Wakeham;11.1.1999;23;;;Halfback, Five-eighth, Hooker;;;;;;Young;0
6c8f0bcb-adbf-53f2-aa2b-3e2d33442033;https://en.wikipedia.org/wiki/Kuchta;;;;;;;;;;;;;;0
143ac5bf-ef59-5cd8-b38b-eaefc489089c;https://en.wikipedia.org/wiki/Darryl_Roberts;Darryl Roberts;Darryl Roberts;1983-09-26;40;Saint Joseph;Trinidad and Tobago;Striker;HPC;Trinidad and Tobago;27;6;2024-02-12 10:36:12;Old;0.222222222222222
ba12da87-1dcc-5075-9f9a-4014b96440e0;https://en.wikipedia.org/wiki/Shunnosuke_Matsuki;Shunnosuke Matsuki;;1996-10-24;27;Kanagawa;Japan;Midfielder;Suzuka Point Getters;;0;0;2024-02-12 10:36:12;MidAge;0
b0243a91-572b-529c-9c4d-ff0b43b60b13;https://en.wikipedia.org/wiki/Jung_Hoon;Jung Hoon;;1985-08-31;38;;South Korea;Defensive Midfielder / Centre Back;;;;;2024-02-12 10:36:13;Old;0
b7b96801-808c-5409-bbf1-077b2e7cf398;https://en.wikipedia.org/wiki/Hirving_Lozano;Hirving Lozano;Hirving Rodrigo Lozano Bahena;1995-07-30;28;Mexico City;Mexico;Winger;PSV;Mexico;13;5;2024-02-12 10:36:13;MidAge;0.384615384615385
a7ec9ee9-2cb3-5977-a03d-0ec0c165afcd;https://en.wikipedia.org/wiki/Jackson_Porozo;Jackson Porozo;Jackson Gabriel Porozo Vernaza;2000-08-04;23;San Lorenzo;Ecuador;Centre-back;Kasımpaşa;Ecuador;0;0;2024-02-12 10:36:15;Young;0
32bb5313-e840-5d43-8aeb-38a667492aaa;https://en.wikipedia.org/wiki/Erling_Haaland;Erling Haaland;Erling Braut Haaland;2000-07-21;23;Leeds, West Yorkshire;England;Striker;Manchester City;Norway;53;52;2024-02-12 10:36:16;Young;0.981132075471698
a59c5753-eead-526a-8a51-4f6a8e2c3ee1;https://en.wikipedia.org/wiki/Ahmed_Salem;Ahmed Salem;Ahmed Mohamed Salem;1898-12-25;125;Damietta;Egypt;;;Egypt;;;2024-02-12 10:36:17;Old;0
ad450153-76f2-5cf5-bb47-65043394d634;https://en.wikipedia.org/wiki/Youcef_Bela%C3%AFli;Youcef Belaïli;Mohamed Youcef Belaïli;1992-03-14;31;Oran;Algeria;Left winger;MC Alger;Algeria;11;10;2024-02-12 10:36:17;MidAge;0.909090909090909
b26f4810-7e9e-5987-b566-d5fb768c1c48;https://en.wikipedia.org/wiki/Ahmed_Nabil_Koka;Ahmed Nabil Koka;Ahmed Nabil Ashour Abdelaal;2001-07-04;22;;;Midfielder;Al Ahly;Egypt U23;16;0;2024-02-12 10:36:17;Young;0.0
12c5ce29-0789-5123-a300-7df9efedabad;https://en.wikipedia.org/wiki/Fabi%C3%A1n_Estoyanoff;Fabián Estoyanoff;Fabián Larry Estoyanoff Poggio;1982-09-27;41;Montevideo;Uruguay;Winger;Fénix;Uruguay;55;6;2024-02-12 10:36:18;Old;0.109090909090909
bff4b671-5fee-5ac7-b20b-2c6eedc6b03a;https://en.wikipedia.org/wiki/Nora_Heroum;Nora Heroum;;1994-07-20;29;Helsinki;Finland;Defender / Midfielder;Parma;Finland;25;1;2024-02-12 10:36:18;MidAge;0.04
effa2665-0020-5855-8c3d-148fc9c9d96e;https://en.wikipedia.org/wiki/Kyogo_Furuhashi;Kyogo Furuhashi;;1995-01-20;29;Ikoma, Nara;Japan;Forward;Celtic;Japan;81;47;2024-02-12 10:36:18;MidAge;0.580246913580247
0b825746-5ee5-5630-9b4d-8e1ce09824f3;https://en.wikipedia.org/wiki/Marcelo_(footballer%2C_born_1988);Marcelo;Marcelo Vieira da Silva Júnior;1988-05-12;35;Rio de Janeiro;Brazil;Left-back;Fluminense;Brazil;19;1;2024-02-12 10:36:19;Old;0.0526315789473684
589e0774-88d6-5930-a2ef-bb79d29b51af;https://en.wikipedia.org/wiki/Felix_Afena-Gyan;Felix Afena-Gyan;Felix Afena Ohene-Gyan;2003-01-19;21;Sunyani;Ghana;Forward;Cremonese;Ghana;31;3;2024-02-12 10:36:19;Young;0.0967741935483871
7b2ca3aa-bcac-5d4d-8dc9-46823916f2b5;https://en.wikipedia.org/wiki/Eric_Bailly;Eric Bailly;Eric Bertrand Bailly;1994-04-12;29;Bingerville;Ivory Coast;Centre-back;Villarreal;Ivory Coast;4;0;2024-02-12 10:36:19;MidAge;0.0
e198c36d-fcb8-5280-af1f-fac821edabe7;https://en.wikipedia.org/wiki/Pierre-Emerick_Aubameyang;Pierre-Emerick Aubameyang;Pierre-Emerick Emiliano François Aubameyang;1989-06-18;34;Laval;France;Striker;Marseille;Gabon;21;6;2024-02-12 10:36:25;Old;0.285714285714286
d91b9628-5eb9-5378-9a52-66010b2e9edb;https://en.wikipedia.org/wiki/Amer_Gojak;Amer Gojak;Amer Gojak;1997-02-13;26;Sarajevo;Bosnia and Herzegovina;Attacking midfielder;Ferencváros;Bosnia and Herzegovina;25;2;2024-02-12 10:36:25;MidAge;0.08
335b6a73-11c9-50d5-a84c-845141e48329;https://en.wikipedia.org/wiki/Mohamed_Salah;Mohamed Salah;Mohamed Salah Hamed Mahrous Ghaly;1992-06-15;31;Nagrig, Basyoun;Egypt;Right winger, forward;Liverpool;Egypt;238;151;2024-02-12 10:36:26;MidAge;0.634453781512605
d076cb05-b5d2-56b0-8fab-97b02cc2d6da;https://en.wikipedia.org/wiki/Dmitri_Barinov;;Dmitri Nikolayevich Barinov;11.9.1996;26;Ogudnevo;Moscow Oblast;Defensive midfielder;FC Lokomotiv Moscow;Russia;;;;MidAge;0
ec373727-271b-52fe-901d-1a29062338e8;https://en.wikipedia.org/wiki/Lino_Sousa;;Lino da Cruz Sousa;19.1.2005;17;Lisbon;Portugal;Defender;Arsenal F.C.;England U17;;;;Young;0
bacfd582-8af2-5611-9d33-f0a833009cbd;https://en.wikipedia.org/wiki/August_Erlingmark;;Jan August Erlingmark;22.4.1998;24;Gothenburg;Sweden;Midfielder;Atromitos F.C.;Sweden;;;;MidAge;0
aff24a8d-61be-590f-aba3-6d1a14462ffb;https://en.wikipedia.org/wiki/Pedro_Silva;;;;;;;;;;;;;;0
322e7892-7511-566c-8b81-bc83fad2b5dd;https://en.wikipedia.org/wiki/Masaaki_Higashiguchi;;;12.5.1986;36;Takatsuki;Osaka;Goalkeeper;Gamba Osaka;Japan;;;;Old;0
e9da48d5-5778-580f-9d72-aa1db6b6df80;https://en.wikipedia.org/wiki/Danilo_(footballer%2C_born_1999);;Danilo Pereira da Silva;7.4.1999;23;São Paulo;Brazil;Striker;Feyenoord;Brazil U23;;;;Young;0
b4f1bf68-9eec-5111-8b94-e31c8aba832d;https://en.wikipedia.org/wiki/Kenta_Nishizawa;;Kenta Nishizawa;6.9.1996;26;Shizuoka;Japan;Winger;Shimizu S-Pulse;;;;;MidAge;0
75a4143a-fe2d-5793-95e6-de0304e98a57;https://en.wikipedia.org/wiki/Renji_Matsui;;;27.2.2000;22;Iwaki;Fukushima;Defensive midfielder;Kawasaki Frontale;Japan U23;;;;Young;0
29c65576-44d1-56af-b8a4-7f2144c693eb;https://en.wikipedia.org/wiki/Mario_Perrone;;;6.2.2003;19;;;Defender;U.S. Salernitana 1919;;;;;Young;0
2ddf5057-9962-54a8-ae29-fe0b765ce618;https://en.wikipedia.org/wiki/Category:Omani_footballers;;;;;;;;;;;;;;0
051399b7-014e-5e4a-98aa-405402b7ea39;https://en.wikipedia.org/wiki/Vasilios_Xenopoulos;;Vasilios Xenopoulos;20.5.1998;24;Athens;Greece;Goalkeeper;Panathinaikos B;Greece U21;;;;MidAge;0
811e4e41-1c9a-5e69-98f2-442c307a8cc3;https://en.wikipedia.org/wiki/Leonardo_Su%C3%A1rez;;Leonardo Gabriel Suárez;30.3.1996;26;San Martín;Argentina;Winger;Club América;Argentina U20;;;;MidAge;0
cb0cad0d-53a9-58cd-a347-612bbb4ab9ad;https://en.wikipedia.org/wiki/Endrick_Felipe;;Endrick Felipe Moreira de Sousa;21.7.2006;16;Brasília;Brazil;Striker;Sociedade Esportiva Palmeiras;Brazil U16;;;;Young;0
b1679a78-ee74-5b79-8438-4e193733cf81;https://en.wikipedia.org/wiki/Abdulaziz_Al-Ansari;;Abdulaziz Rashid Al Ansari;19.2.1992;30;;Qatar;Striker  Second striker;Al-Arabi SC (Qatar);Qatar;;;;MidAge;0
543238bb-faee-5811-a8b5-c75fea7a0929;https://en.wikipedia.org/wiki/Abdul_Mumin;;Khalid Abdul Mumin Suleman;6.6.1998;24;Accra;Ghana;Centre-back;Rayo Vallecano;;;;;MidAge;0
7f30f726-7496-5e1a-a8af-04d81cb4be4f;https://en.wikipedia.org/wiki/Mohammed_Al-Thani;;Mohammed Fuad Al-Thani;22.1.1997;25;;Saudi Arabia;Winger;Ohod Club;;;;;MidAge;0
232db30b-a0ec-58cf-93d7-e2042f85fa8c;https://en.wikipedia.org/wiki/Maur%C3%ADcio_(footballer%2C_born_2001);;Maurício Magalhães Prado;22.6.2001;21;São Paulo;Brazil;Attacking midfielder;Sport Club Internacional;;;;;Young;0
468e3e70-43db-5d3e-9bd0-98d3183c250a;https://en.wikipedia.org/wiki/C%C3%A9sar_Azpilicueta;;César Azpilicueta Tanco;28.8.1989;33;Zizur Mayor;Spain;Right-back, centre-back;Chelsea F.C.;Spain;;;;Old;0
96c9686b-7e54-5cf9-be1c-e52d496af409;https://en.wikipedia.org/wiki/Lisandro_L%C3%B3pez;;;;;;;;;;;;;;0
4aa8f71e-3856-5daa-a95c-c05790b2b629;https://en.wikipedia.org/wiki/Adama_Traor%C3%A9_(footballer%2C_born_1996);;Adama Traoré Diarra;25.1.1996;26;L'Hospitalet de Llobregat;Catalonia;Winger;Wolverhampton Wanderers F.C.;Spain;;;;MidAge;0
588b0948-7006-5b06-8882-f814b31d000e;https://en.wikipedia.org/wiki/Luka_Menalo;;;22.7.1996;26;Split;Croatia;Winger;GNK Dinamo Zagreb Academy;Bosnia and Herzegovina;;;;MidAge;0
b22d6096-59fb-5170-8bff-f8e342fafdf5;https://en.wikipedia.org/wiki/40-yard_dash;;;;;;;;;;;;;;0
5c1a06db-92c3-5f70-8ebb-6d163ca47eae;https://en.wikipedia.org/wiki/Antonio_Pedroza;;Antonio Michael Pedroza Whitham;20.2.1991;31;Chester;Cheshire;Forward;Chapulineros de Oaxaca;;;;;MidAge;0
c25edd4f-9534-5bbb-bc78-802f1dd29af3;https://en.wikipedia.org/wiki/Guilherme_Arana;;Guilherme Antonio Arana Lopes;14.4.1997;25;São Paulo;Brazil;Left back;Clube Atlético Mineiro;Brazil;;;;MidAge;0
f852ac21-3c3c-5221-ae0d-07d2d34d8ee1;https://en.wikipedia.org/wiki/Anthony_Koura;;;6.5.1993;29;Le Mans;France;Striker;FC Lausanne-Sport;Burkina Faso;;;;MidAge;0
333cf82f-0400-586e-8eab-9b646039a6ed;https://en.wikipedia.org/wiki/Amin_Nazari;;Amin Adam Lazarte Nazari;26.4.1993;29;Malmö;Sweden;Midfielder;PT Prachuap F.C.;Philippines;;;;MidAge;0
e796b6b1-8d7b-57aa-9041-ac90c4905555;https://en.wikipedia.org/wiki/Saad_Al_Sheeb;;Saad Abdullah Al Sheeb;19.2.1990;32;Doha;Qatar;Goalkeeper;Al-Sadd Sports Club;Qatar;;;;MidAge;0
585e9317-355f-5d39-b52d-cbff13469121;https://en.wikipedia.org/wiki/Victor_Igbonefo;;Victor Chukwuekezie Igbonefo;10.10.1985;37;Enugu;Nigeria;Centre-back;Persib Bandung;Indonesia;;;;Old;0
035f9a15-0941-510f-a5d5-a9cb092d0bff;https://en.wikipedia.org/wiki/Tymoteusz_Puchacz;;Tymoteusz Puchacz;23.1.1999;23;Sulechów;Poland;Left-back;1. FC Union Berlin;Poland;;;;Young;0
7822697f-a6b3-50be-b222-f6986eac8d1c;https://en.wikipedia.org/wiki/Aleksandar_Katai;;;6.2.1991;31;Srbobran;SR Serbia;Winger;Red Star Belgrade;Serbia;;;;MidAge;0
cfedb241-8a0f-56c0-b275-b82802794d24;https://en.wikipedia.org/wiki/Anthony_Elanga;;Anthony David Junior Elanga;27.4.2002;20;Malmö;Sweden;Winger;Manchester United F.C.;Sweden;;;;Young;0
234ac032-48b9-572b-a231-01ff2cbd25e2;https://en.wikipedia.org/wiki/Lee_Suk-jae;;;8.7.2003;19;Seoul;South Korea;Midfielder;Havant & Waterlooville F.C.;;;;;Young;0
847902b6-cfde-5305-9571-076dea10b15c;https://en.wikipedia.org/wiki/Hussein_Mohamed_(footballer);Hussein Mohamed;Hussein Abdikarim Mohamed;1997-03-20;26;Mogadishu;Somalia;Winger;JäPS;Somalia;16;5;2024-02-12 10:35:45;MidAge;0.3125
0ac57ad5-bfed-5c47-8981-5468e5da0d33;https://en.wikipedia.org/wiki/Andrey_Yeshchenko;;Andrey Olegovich Yeshchenko;9.2.1984;38;Irkutsk;Soviet Union;Right-back;FC Znamya Noginsk;Russia;;;;Old;0
ef9206a6-34a6-511d-a153-40c789c7295c;https://en.wikipedia.org/wiki/Anthony_Nwakaeme;;Anthony Nnaduzor Nwakaeme;21.3.1989;33;Lagos;Nigeria;Left winger;Al-Fayha FC;Nigeria;;;;Old;0
1f97b1d1-3a03-567c-b6a5-a9573c1fbb3b;https://en.wikipedia.org/wiki/Ferran_Torres;;Ferran Torres García;29.2.2000;22;Foios;Spain;Forward;FC Barcelona;Spain;;;;Young;0
61349f80-bac7-5290-ab5e-310b460453aa;https://en.wikipedia.org/wiki/J%C3%A1nos_Farkas;;;;;;;;;;;;;;0
39b36b7b-1e21-5d8b-8d42-249de3083144;https://en.wikipedia.org/wiki/Gavi_(footballer);;Pablo Martín Páez Gavira;5.8.2004;18;Los Palacios y Villafranca;Spain;Central midfielder;FC Barcelona;Spain;;;;Young;0
6c007905-5cfc-5de4-a6ac-d1ddcdec0e41;https://en.wikipedia.org/wiki/Jean_Paulo_Fernandes_Filho;;Jean Paulo Fernandes Filho;26.10.1995;26;Salvador;Brazil;Goalkeeper;Cerro Porteño;Brazil U20;;;;MidAge;0
e4817451-13e6-53e1-8576-087b8239d93d;https://en.wikipedia.org/wiki/%C4%B0lhan_Parlak;;İlhan Parlak;19.1.1987;35;Yahyalı;Turkey;Forward;Kayserispor;Turkey U21;;;;Old;0
9062685d-2bcf-53d7-82af-c69e1bbcc9ba;https://en.wikipedia.org/wiki/Zlatan_Ibrahimovi%C4%87;;Zlatan Ibrahimović;3.10.1981;41;Malmö;Sweden;Striker;A.C. Milan;Sweden;;;;Old;0
039abcea-cecc-5ed0-bf49-77b1262a2ff5;https://en.wikipedia.org/wiki/Piero_Hincapi%C3%A9;;Piero Martín Hincapié Reyna;9.1.2002;20;Esmeraldas;Ecuador;Centre-back;Bayer 04 Leverkusen;Ecuador;;;;Young;0
cf1ea3a9-fb26-544e-a1df-9670d47eb41b;https://en.wikipedia.org/wiki/Ivan_Peri%C5%A1i%C4%87;;Ivan Perišić;2.2.1989;33;Split;SR Croatia;Winger;Tottenham Hotspur F.C.;Croatia;;;;Old;0
6f7e03cb-4eeb-4ee9-a4cf-de32b3b3841f;https://en.wikipedia.org/wiki/Luiz_Gustavo;Luiz Gustavo;Luiz Gustavo Dias;1987-07-23;36;Pindamonhangaba;Brazil;Defensive midfielder;São Paulo;Brazil;2;2;2024-02-12 10:35:45;Old;1.0
87a0a535-6a9d-47e9-9ae8-1b029b556d0b;https://en.wikipedia.org/wiki/Mois%C3%A9s_Caicedo#:~:text=Mois%C3%A9s%20Isaac%20Caicedo%20Corozo%20(born%2Cand%20the%20Ecuador%20national%20team.;Moisés Caicedo;Moisés Isaac Caicedo Corozo;2001-11-02;22;Santo Domingo;Ecuador;Defensive midfielder;Chelsea;Ecuador;20;0;2024-02-12 10:35:45;Young;0.0
518ef28f-e62e-4f0f-8528-ceaad8ebc8d6;https://en.wikipedia.org/wiki/Casemiro;Casemiro;Carlos Henrique Casimiro;1992-02-23;31;São José dos Campos;Brazil;Defensive midfielder;Manchester United;Brazil;39;5;2024-02-12 10:35:46;MidAge;0.128205128205128
fae81a95-bd23-41d0-ba78-163445f36e2c;https://en.wikipedia.org/wiki/Federico_Fazio;Federico Fazio;Federico Julián Fazio;1987-03-17;36;Buenos Aires;Argentina;Centre-back;Salernitana;Argentina;41;3;2024-02-12 10:35:46;Old;0.0731707317073171
c5bd82fa-0c6e-4438-bac6-305dc2041c48;https://en.wikipedia.org/wiki/Jules_Kound%C3%A9;Jules Koundé;Jules Olivier Koundé;1998-11-12;25;Paris;France;Centre-back, right-back;Barcelona;France;50;2;2024-02-12 10:35:47;MidAge;0.04
813aa2ae-9241-45c5-9ea4-446e59bdb08f;https://en.wikipedia.org/wiki/Marc-Andr%C3%A9_ter_Stegen;Marc-André ter Stegen;Marc-André ter Stegen;1992-04-30;31;Mönchengladbach;Germany;Goalkeeper;Barcelona;Germany;269;0;2024-02-12 10:35:47;MidAge;0.0
a12f6fec-619d-479d-a945-05c63f8b5471;https://en.wikipedia.org/wiki/Cristiano_Ronaldo;Cristiano Ronaldo;Cristiano Ronaldo dos Santos Aveiro;1985-02-05;39;Funchal, Madeira;Portugal;Forward;Al Nassr;Portugal;34;34;2024-02-12 10:35:52;Old;1.0
5ff0ce58-300d-44a7-b30c-7eb7f372c6a8;https://en.wikipedia.org/wiki/Koni_De_Winter;Koni De Winter;;2002-06-12;21;Antwerp;Belgium;Centre-back;Genoa;Belgium U21;17;0;2024-02-12 10:35:53;Young;0.0
